id,title,authors,year,journal,doi,status,tier,paper_section,notes
R1,Benchmark of filter methods for feature selection in high-dimensional gene expression survival data,Bommert et al.,2022,Briefings in Bioinformatics,10.1093/bib/bbab354,verified,1,related_work,Filter benchmark in survival; key BIB precedent
R2,SurvBoard: standardized benchmarking for multi-omics cancer survival models,Wissel et al.,2025,Briefings in Bioinformatics,10.1093/bib/bbaf521,verified,1,related_work,Resource paper template with Zenodo+leaderboard
R3,Comparative analysis of integrative classification methods for multi-omics data,Novoloaca et al.,2024,Briefings in Bioinformatics,10.1093/bib/bbae331,verified,1,related_work,Leakage-safe design and method family comparison
R4,The current landscape and emerging challenges of benchmarking single-cell methods,Cao et al.,2025,Briefings in Bioinformatics,10.1093/bib/bbaf380,verified,1,related_work,Living benchmark narrative; BIB survey paper
R5,The ability to classify patients based on gene-expression data varies by algorithm and performance metric,Piccolo et al.,2022,PLOS Computational Biology,10.1371/journal.pcbi.1009926,verified,1,related_work,Large-scale gene-expression classification benchmark (50 datasets)
R6,Essential guidelines for computational method benchmarking in genomics,Weber et al.,2019,Genome Biology,10.1186/s13059-019-1738-8,verified,1,related_work,Methodological gold standard for benchmark design
R7,Systematic benchmarking of omics computational tools,Mangul et al.,2019,Nature Communications,10.1038/s41467-019-09406-4,verified,1,related_work,Meta-review of omics benchmarking
R8,ShinyLearner: A containerized benchmarking tool for machine-learning classification of tabular data,Piccolo et al.,2020,GigaScience,10.1093/gigascience/giaa026,verified,1,related_work,Platform engineering architecture reference
R9,Feature selection methods on gene expression microarray data for cancer classification: A systematic review,Alhenawi et al.,2022,Computers in Biology and Medicine,10.1016/j.compbiomed.2021.105051,verified,2,related_work,Microarray FS 132-paper systematic review
R10,The use of gene expression datasets in feature selection research: 20 years of inherent bias?,Grisci et al.,2024,WIREs Data Mining and Knowledge Discovery,10.1002/widm.1523,verified,2,related_work,Dataset bias: 57% use outdated data; CuMiDa-first motivation
R11,MGRFE: Multilayer Recursive Feature Elimination Based on an Embedded Genetic Algorithm for Cancer Classification,Peng et al.,2021,IEEE/ACM TCBB,10.1109/TCBB.2019.2921961,verified,3,related_work,EA representative for microarray classification
R12,SFE: A Simple Fast and Efficient Feature Selection Algorithm for High-Dimensional Data,Ahadzadeh et al.,2023,IEEE Transactions on Evolutionary Computation,10.1109/TEVC.2023.3238420,verified,3,related_work,High-impact EA baseline
R13,MEL: Efficient Multi-Task Evolutionary Learning for High-Dimensional Feature Selection,Wang et al.,2024,IEEE Transactions on Knowledge and Data Engineering,10.1109/TKDE.2024.3366333,verified,3,related_work,Multi-task EA (frontier method)
R14,Sklearn-Genetic-Opt: Scikit-Learn models hyperparameter tuning and feature selection using evolutionary algorithms,Arenas,2021,GitHub/PyPI,N/A (software),verified,3,methods,Main EA implementation; GAFeatureSelectionCV
R15,Feature selection based on mutual information criteria of max-dependency max-relevance and min-redundancy,Peng et al.,2005,IEEE Trans. Pattern Anal. Mach. Intell.,10.1109/TPAMI.2005.159,verified,4,methods,mRMR original paper
R16,Relief-based feature selection: Introduction and review,Urbanowicz et al.,2018,Journal of Biomedical Informatics,10.1016/j.jbi.2018.07.014,verified,4,methods,ReliefF/scikit-rebate review
R17,Feature Selection with the Boruta Package,Kursa and Rudnicki,2010,Journal of Statistical Software,10.18637/jss.v036.i11,verified,4,methods,BorutaPy original algorithm
R18,eBoruta: Extended Boruta - a flexible transparent sklearn-compatible Python Boruta implementation,Reveguk,2022,GitHub/PyPI,N/A (software),verified,4,methods,eBoruta Python package (MIT license)
R19,On the Stability of Feature Selection Algorithms,Nogueira et al.,2018,Journal of Machine Learning Research,N/A (JMLR),verified,4,methods,Stability measure with confidence intervals
R20,CuMiDa: An Extensively Curated Microarray Database for Benchmarking and Testing of Machine Learning Approaches in Cancer Research,Feltes et al.,2019,Journal of Computational Biology,10.1089/cmb.2018.0238,verified,4,methods+data,Primary data source for benchmark panel
R21,Analysis and comparison of feature selection methods towards performance and stability,Barbieri et al.,2024,Expert Systems with Applications,10.1016/j.eswa.2024.123667,verified,5,related_work,Python FS benchmark framework precedent (GenExpFS)
R22,Robust biomarker screening from gene expression data by stable machine learning-recursive feature elimination methods,Li et al.,2022,Computational Biology and Chemistry,10.1016/j.compbiolchem.2022.107747,verified,5,methods,Stability module reference (StabML-RFE)
E1,A Survey on Evolutionary Computation Approaches to Feature Selection,Xue et al.,2016,IEEE Transactions on Evolutionary Computation,10.1109/TEVC.2015.2504420,verified,ext,related_work,EA FS comprehensive survey
E2,Feature Selection: A Data Perspective,Li et al.,2018,ACM Computing Surveys,10.1145/3136625,verified,ext,related_work,General FS survey from data science perspective
E3,A review of feature selection techniques in bioinformatics,Saeys et al.,2007,Bioinformatics,10.1093/bioinformatics/btm344,verified,ext,related_work,Classical FS-in-bioinformatics review
E4,Random Forests,Breiman,2001,Machine Learning,10.1023/A:1010933404324,verified,ext,methods,Random Forest original paper
E5,Support-Vector Networks,Cortes and Vapnik,1995,Machine Learning,10.1007/BF00994018,verified,ext,methods,SVM original paper
E6,Scikit-learn: Machine Learning in Python,Pedregosa et al.,2011,Journal of Machine Learning Research,N/A (JMLR),verified,ext,methods,scikit-learn platform citation
E7,The Cancer Genome Atlas Pan-Cancer analysis project,Weinstein et al.,2013,Nature Genetics,10.1038/ng.2764,verified,ext,data,TCGA data source citation
E8,NCBI GEO: archive for functional genomics data sets - update,Barrett et al.,2013,Nucleic Acids Research,10.1093/nar/gks1193,verified,ext,data,GEO data source citation
E9,Adaptation in Natural and Artificial Systems,Holland,1992,MIT Press (book),N/A (book),verified,ext,related_work,Genetic algorithm foundational reference
E10,A fast and elitist multiobjective genetic algorithm: NSGA-II,Deb et al.,2002,IEEE Transactions on Evolutionary Computation,10.1109/4235.996017,verified,ext,related_work,NSGA-II (multi-objective EA reference)
E11,Comprior: facilitating the implementation and automated benchmarking of prior knowledge-based feature selection,Perscheid,2021,BMC Bioinformatics,10.1186/s12859-021-04308-z,verified,ext,related_work,Python benchmarking tool for FS on gene expression
E12,Regression Shrinkage and Selection via the Lasso,Tibshirani,1996,J. Royal Statistical Society B,10.1111/j.2517-6161.1996.tb02080.x,verified,ext,methods,Lasso (L1) regularization original paper
E13,Bias in error estimation when using cross-validation for model selection,Varma and Simon,2006,BMC Bioinformatics,10.1186/1471-2105-7-91,verified,ext,methods,Nested CV anti-leakage justification
E14,Gene set enrichment analysis: A knowledge-based approach for interpreting genome-wide expression profiles,Subramanian et al.,2005,PNAS,10.1073/pnas.0506580102,verified,ext,methods+discussion,GSEA biological evaluation method
E15,Exploration normalization and summaries of high density oligonucleotide array probe level data,Irizarry et al.,2003,Biostatistics,10.1093/biostatistics/4.2.249,verified,ext,methods,RMA normalization (preprocessing citation)
E16,Gene Ontology: tool for the unification of biology,Ashburner et al.,2000,Nature Genetics,10.1038/75556,verified,ext,methods+discussion,GO annotation for biological evaluation
E17,KEGG: Kyoto Encyclopedia of Genes and Genomes,Kanehisa and Goto,2000,Nucleic Acids Research,10.1093/nar/28.1.27,verified,ext,methods+discussion,KEGG pathway annotation for biological evaluation
E18,XGBoost: A Scalable Tree Boosting System,Chen and Guestrin,2016,KDD 2016,10.1145/2939672.2939785,verified,ext,methods,XGBoost secondary classifier option
E19,Controlling the False Discovery Rate: A Practical and Powerful Approach to Multiple Testing,Benjamini and Hochberg,1995,J. Royal Statistical Society B,10.1111/j.2517-6161.1995.tb02031.x,verified,ext,methods,FDR correction for multi-comparison statistical tests
E20,The influence of feature selection methods on accuracy stability and interpretability of molecular signatures,Haury et al.,2011,PLoS ONE,10.1371/journal.pone.0028210,verified,ext,related_work,Stability vs accuracy trade-off in FS for molecular signatures
E21,An introduction to variable and feature selection,Guyon and Elisseeff,2003,Journal of Machine Learning Research,N/A (JMLR),verified,ext,related_work,Classic FS introduction (JMLR 3:1157-1182)
E22,Particle swarm optimization,Kennedy and Eberhart,1995,ICNN 1995,10.1109/ICNN.1995.488968,verified,ext,related_work,PSO foundational EA reference
E23,Transparent Reporting of a Multivariable Prediction Model for Individual Prognosis or Diagnosis (TRIPOD),Collins et al.,2015,Annals of Internal Medicine,10.7326/M14-0697,verified,ext,methods,External validation reporting standard
E24,Diagnosis of multiple cancer types by shrunken centroids of gene expression,Tibshirani et al.,2002,PNAS,10.1073/pnas.082099299,verified,ext,related_work,Classic microarray cancer classification (PAM/shrunken centroids)
E25,DisGeNET: a comprehensive platform integrating information on human disease-associated genes and variants,Pinero et al.,2017,Nucleic Acids Research,10.1093/nar/gkw943,verified,ext,methods+discussion,DisGeNET biological evaluation database
E26,Gene selection for cancer classification using support vector machines,Guyon et al.,2002,Machine Learning,10.1023/A:1012487302797,verified,ext,related_work,SVM-RFE foundational embedded FS paper
E27,Stability selection,Meinshausen and Buhlmann,2010,J. Royal Statistical Society B,10.1111/j.1467-9868.2010.00740.x,verified,ext,methods,Stability selection theoretical framework (supports Nogueira 2018)
E28,Molecular Classification of Cancer: Class Discovery and Class Prediction by Gene Expression Monitoring,Golub et al.,1999,Science,10.1126/science.286.5439.531,verified,ext,intro+data,Landmark microarray cancer classification paper (AML/ALL leukemia; canonical dataset A2)
E29,Broad patterns of gene expression revealed by clustering analysis of tumor and normal colon tissues probed by oligonucleotide arrays,Alon et al.,1999,PNAS,10.1073/pnas.96.12.6745,verified,ext,data,Canonical colon cancer dataset (A1); classic FS benchmark dataset origin
E30,Selection bias in gene extraction on the basis of microarray gene-expression data,Ambroise and McLachlan,2002,PNAS,10.1073/pnas.102102699,verified,ext,methods,Leakage bias in microarray FS; validates nested CV design
E31,Most Random Gene Expression Signatures Are Significantly Associated with Breast Cancer Outcome,Venet et al.,2011,PLoS Computational Biology,10.1371/journal.pcbi.1002240,verified,ext,methods+discussion,Negative control motivation: random signatures perform surprisingly well
E32,Wrappers for feature subset selection,Kohavi and John,1997,Artificial Intelligence,10.1016/S0004-3702(97)00043-X,verified,ext,related_work,Wrapper FS paradigm original paper
E33,Regularization and variable selection via the elastic net,Zou and Hastie,2005,J. Royal Statistical Society B,10.1111/j.1467-9868.2005.00503.x,verified,ext,methods,Elastic Net (L1+L2) for sparse feature selection
E34,Feature selection in machine learning: A new perspective,Cai et al.,2018,Neurocomputing,10.1016/j.neucom.2017.11.077,verified,ext,related_work,Recent FS survey covering filter/wrapper/embedded/hybrid methods
E35,Pitfalls in the Use of DNA Microarray Data for Diagnostic and Prognostic Classification,Simon et al.,2003,JNCI,10.1093/jnci/95.1.14,verified,ext,methods,Early paper on overfitting and data leakage in microarray classification
E36,Gene expression profiling predicts clinical outcome of breast cancer,van 't Veer et al.,2002,Nature,10.1038/415530a,verified,ext,intro+discussion,Pioneering clinical gene expression signature (MammaPrint precursor)
